,ward,borough,inner,area,children,adults,elderly,age,education,crime,employed,benefits,migration,income,houseprice,cars,turnout
192,Greenwich - Charlton,Greenwich,FALSE,2,3300,9700,1650,35.2,37.2,60.7,6572,17.1,49.7,37940,363000,0.7,37
193,Greenwich - Coldharbour and New Eltham,Greenwich,FALSE,2.5,2350,8650,2450,40.3,23.4,58.1,5957,13.1,10.8,38390,325000,1.1,33.8
194,Greenwich - Eltham North,Greenwich,FALSE,2.6,2250,8250,2400,41.2,31.8,67.2,6087,10,9.1,43120,345000,1.1,43.4
195,Greenwich - Eltham South,Greenwich,FALSE,4.6,2050,8950,2050,37.9,25.1,75.9,5537,12.6,20.9,37120,288750,1,32.3
196,Greenwich - Eltham West,Greenwich,FALSE,2.4,2700,8350,1450,36.2,21.2,59.9,4374,17.7,13.3,34250,315500,0.9,27.8
197,Greenwich - Glyndon,Greenwich,FALSE,1.7,4350,12750,1400,32.8,28.6,60.9,7961,19.7,62.6,31690,224995,0.6,28.1
198,Greenwich - Greenwich West,Greenwich,FALSE,2.8,3450,13550,1450,33.1,49.9,104,8485,13.4,46.4,42270,450000,0.6,35.9
199,Greenwich - Kidbrooke with Hornfair,Greenwich,FALSE,2.4,2900,9950,1850,36.7,30.8,70.3,6525,16.2,29.6,35740,260050,0.9,29.2
200,Greenwich - Middle Park and Sutcliffe,Greenwich,FALSE,3.3,2900,8850,2200,37.9,29.6,64.4,5652,18.5,20.4,35340,292755,0.9,34.3
201,Greenwich - Peninsula,Greenwich,FALSE,4.5,4650,18350,1500,32.9,49.5,107.6,7798,13.6,42.8,41840,379000,0.6,35.2
202,Greenwich - Plumstead,Greenwich,FALSE,2.4,3950,11550,1600,34,25.2,78.7,7282,16.3,84.1,32390,249000,0.7,31.1
203,Greenwich - Shooters Hill,Greenwich,FALSE,3.8,2750,9050,1900,38,31.3,46.3,6242,13,18,39030,270000,1,37.4
204,Greenwich - Thamesmead Moorings,Greenwich,FALSE,4.8,6450,14600,1150,29.8,32.4,70.5,8273,16,48.1,34450,190000,0.7,25.7
205,Greenwich - Woolwich Common,Greenwich,FALSE,2.6,5250,13100,1200,30.7,26.7,103,7113,20.8,67,30260,267500,0.6,27.1
206,Greenwich - Woolwich Riverside,Greenwich,FALSE,3.2,5550,16050,1450,31.3,35.2,112.8,8681,20.3,54.8,33540,266250,0.5,28.8
207,Hackney - Brownswood,Hackney,TRUE,0.8,1850,10700,750,33.4,51.7,87.3,6334,16.4,53.6,40070,440000,0.4,35.4
208,Hackney - Cazenove,Hackney,TRUE,0.7,4050,8850,850,29.6,35.6,49.7,5744,14.3,39.6,38130,375000,0.4,33.9
209,Hackney - Chatham,Hackney,TRUE,0.9,2950,10050,950,32.5,37.6,115.3,5930,22.1,47.1,32510,415000,0.4,31.8
210,Hackney - Clissold,Hackney,TRUE,0.7,2450,9300,950,34,53.5,75.4,6683,13.8,26.7,45450,499950,0.5,38.4
211,Hackney - Dalston,Hackney,TRUE,0.9,2650,12300,1000,33.4,48.6,158.6,8021,20.8,47.1,38230,485000,0.4,31.6
212,Hackney - De Beauvoir,Hackney,TRUE,0.9,2400,11700,1050,33.6,49.8,147.9,7456,16.1,45.9,39060,480000,0.4,33
213,Hackney - Hackney Central,Hackney,TRUE,0.8,2300,9850,1000,34,42,114.6,6240,19.6,38.5,35260,450000,0.3,38.2
214,Hackney - Hackney Downs,Hackney,TRUE,1,2600,9800,1000,33.6,42.2,80,6214,19.8,38.6,35700,433000,0.4,35.6
215,Hackney - Haggerston,Hackney,TRUE,1.2,2200,12150,900,32.7,45.8,162.3,7346,16.6,87.4,36080,452500,0.3,28.1
216,Hackney - Hoxton,Hackney,TRUE,0.8,2450,12850,1000,32.5,41.7,127.2,7412,18.3,65.6,34970,475000,0.3,27.1
217,Hackney - King's Park,Hackney,TRUE,1.8,2800,7750,1100,33.1,30.6,68,4166,20.4,41.9,31970,383000,0.5,36
218,Hackney - Leabridge,Hackney,TRUE,1.1,2950,10600,1050,33.1,41.5,79.9,6620,20,45.1,35110,375000,0.5,34.5
219,Hackney - Lordship,Hackney,TRUE,1.2,3650,8000,1050,31.3,40.4,66.5,5089,14.7,29.1,39940,420000,0.5,38
220,Hackney - New River,Hackney,TRUE,1,4250,9150,1100,30.3,26.6,63.1,4631,16.3,68.6,35590,340000,0.4,31.5
221,Hackney - Queensbridge,Hackney,TRUE,1.1,2400,10850,1200,34.2,44.6,116.8,6868,19.5,41.6,36720,465000,0.4,35
222,Hackney - Springfield,Hackney,TRUE,1,4200,7650,950,29.6,21.9,73.7,3994,19.5,44,33570,285000,0.4,30.9
223,Hackney - Stoke Newington Central,Hackney,TRUE,0.7,2100,9950,1000,34.6,52.4,93.3,7032,15.2,38.9,42400,483125,0.4,40.1
224,Hackney - Victoria,Hackney,TRUE,0.8,2750,9950,1050,33.4,41.8,93,6251,20.2,36.6,37350,471250,0.4,32.6
225,Hackney - Wick,Hackney,TRUE,1.6,2600,8800,950,32.8,34.4,99.8,4949,23.6,35.6,32890,340000,0.5,29.8
226,Hammersmith and Fulham - Addison,Hammersmith and Fulham,TRUE,0.6,1850,8850,900,34.8,57.4,107.4,6873,12.6,68.3,43970,572500,0.5,39.5
227,Hammersmith and Fulham - Askew,Hammersmith and Fulham,TRUE,0.8,2550,10550,1200,34.1,45.1,75.4,7621,15.4,48.2,38450,499999.5,0.5,39.5
228,Hammersmith and Fulham - Avonmore and Brook Green,Hammersmith and Fulham,TRUE,0.9,1550,9750,1400,36.3,54.5,70.5,6573,9.7,66.1,43350,618250,0.5,37.5
229,Hammersmith and Fulham - College Park and Old Oak,Hammersmith and Fulham,TRUE,3.4,2100,7750,900,34,31.9,115.7,4075,20.6,63,30890,458000,0.4,34.8
230,Hammersmith and Fulham - Fulham Broadway,Hammersmith and Fulham,TRUE,0.7,1650,8750,1150,35.3,47.7,95.2,6064,12.5,56.7,42130,805000,0.5,36.7
231,Hammersmith and Fulham - Fulham Reach,Hammersmith and Fulham,TRUE,0.9,1550,9250,1000,34.4,51.6,98.6,6331,9,85.3,42010,786250,0.5,38.5
232,Hammersmith and Fulham - Hammersmith Broadway,Hammersmith and Fulham,TRUE,1.1,2000,9000,1250,35.5,45.3,224.9,6161,13.5,68.5,39500,741250,0.5,38.4
233,Hammersmith and Fulham - Munster,Hammersmith and Fulham,TRUE,0.6,1900,8250,1000,34.2,56.9,64.5,6462,7.6,60.4,50240,745000,0.7,37.2
234,Hammersmith and Fulham - North End,Hammersmith and Fulham,TRUE,0.6,1600,10150,850,33.9,52.6,64.6,6805,10.7,79.8,39510,558000,0.4,38.9
235,Hammersmith and Fulham - Palace Riverside,Hammersmith and Fulham,TRUE,1.5,1400,5050,1150,38.6,56.2,90.8,3720,5.7,48.1,53330,950000,0.9,48
236,Hammersmith and Fulham - Parsons Green and Walham,Hammersmith and Fulham,TRUE,0.9,2100,7550,1200,35.8,56.4,124.8,5716,8.2,46.4,55720,1330000,0.8,40.3
237,Hammersmith and Fulham - Ravenscourt Park,Hammersmith and Fulham,TRUE,1.2,1950,7700,1350,37.1,55.1,101.1,5531,10.2,26.8,45510,704000,0.6,46.5
238,Hammersmith and Fulham - Sands End,Hammersmith and Fulham,TRUE,1.4,2550,9850,1150,33.9,47.6,69.6,6518,12.6,44.7,44170,827750,0.6,34.8
239,Hammersmith and Fulham - Shepherd's Bush Green,Hammersmith and Fulham,TRUE,1.1,2100,9850,1050,34.5,46.5,281.4,6797,16.3,85.1,36430,440000,0.4,36.6
240,Hammersmith and Fulham - Town,Hammersmith and Fulham,TRUE,0.7,2050,8450,900,33.6,57.9,100.7,6512,9.5,57.5,47940,690000,0.6,37.6
241,Hammersmith and Fulham - Wormholt and White City,Hammersmith and Fulham,TRUE,0.9,2950,9500,1300,33.5,32,71.9,5694,19.6,60.1,31860,427500,0.5,38.9
242,Haringey - Alexandra,Haringey,TRUE,2.6,2450,8250,1350,36.7,58.5,63.6,6189,6.8,22,51450,625000,1,46.5
243,Haringey - Bounds Green,Haringey,TRUE,1.4,2550,10500,1350,34.9,37.3,82,6822,16.5,60.8,34550,332350,0.6,33.4
244,Haringey - Bruce Grove,Haringey,TRUE,0.9,3250,10500,1250,33.5,27.6,85.2,6192,21.5,105.1,30340,325000,0.5,32.6
245,Haringey - Crouch End,Haringey,TRUE,1.4,2050,9400,1300,37,67,67.3,7537,6.1,22.3,52070,563750,0.7,42.1
246,Haringey - Fortis Green,Haringey,TRUE,2,2500,9000,1500,36.6,58.4,57.9,6423,7.8,25.5,49950,465000,0.9,41.8
247,Haringey - Harringay,Haringey,TRUE,1.6,2150,10900,1050,34.2,46.6,89.5,7404,16,133,37150,430000,0.5,34.5
248,Haringey - Highgate,Haringey,TRUE,2.5,1800,8900,1450,37.7,65.7,56.6,6704,7.7,26.3,53710,732500,0.8,41.8
249,Haringey - Hornsey,Haringey,TRUE,1.1,2300,9600,1200,35.4,51.5,67.2,6753,15.3,23.9,40260,419000,0.6,38.2
250,Haringey - Muswell Hill,Haringey,TRUE,1.7,1900,7700,1500,38.4,62.8,71.7,5922,6.3,16.7,53910,820000,0.9,46.9
251,Haringey - Noel Park,Haringey,TRUE,1.2,2600,10850,1200,33.7,33.8,200.7,6382,21.2,100.5,30620,350000,0.5,29.5
252,Haringey - Northumberland Park,Haringey,TRUE,1.9,3800,10200,1200,32.1,20.2,130.5,4914,29.5,64.3,25090,252500,0.5,31.2
253,Haringey - St. Ann's,Haringey,TRUE,1.1,2850,12000,1300,33.8,35.2,71,7038,16.7,133.2,32460,370000,0.5,31.7
254,Haringey - Seven Sisters,Haringey,TRUE,1.3,4200,11150,1250,31.4,29,80,6671,17.9,107.8,33500,372500,0.5,35.5
255,Haringey - Stroud Green,Haringey,TRUE,1.1,1900,9400,950,35.5,60.5,54,6982,12.4,25.7,44780,477500,0.6,42.8
256,Haringey - Tottenham Green,Haringey,TRUE,1.4,3300,11350,1300,33.7,29.2,134.5,6379,21.9,103.4,28920,326500,0.4,30.9
257,Haringey - Tottenham Hale,Haringey,TRUE,1.9,3850,12150,1300,32.2,23.1,103.7,5816,22.9,69.3,27340,251500,0.5,31
258,Haringey - West Green,Haringey,TRUE,1.4,2550,10100,1400,34.7,30.6,80.4,5989,19.8,90.5,31110,350000,0.5,34.7
259,Haringey - White Hart Lane,Haringey,TRUE,1.7,3350,9500,1150,32.8,20.7,82.1,4726,22.9,46.2,27010,267000,0.6,28.2
260,Haringey - Woodside,Haringey,TRUE,1.5,2800,11200,1350,34.3,32.9,84.2,6992,16.9,85.7,32010,345000,0.6,31.3
261,Harrow - Belmont,Harrow,FALSE,1.8,2350,7550,1700,37.9,36.4,35.3,5355,7,26,42380,435000,1.5,38.1
262,Harrow - Canons,Harrow,FALSE,5.6,2600,8350,2550,40.3,40.8,42.1,5566,8.8,29.7,39890,402500,1.3,34
263,Harrow - Edgware,Harrow,FALSE,1.4,2550,8000,1500,36,29.4,52.6,5458,9.3,72.8,33600,357500,1.1,32.3
264,Harrow - Greenhill,Harrow,FALSE,1.7,2500,9250,1350,34.9,46,129.9,6427,11.1,57.2,37550,272000,0.8,30.1
265,Harrow - Harrow on the Hill,Harrow,FALSE,3.6,2800,8450,1600,35.9,41.8,57.3,5651,8.7,34.4,39630,343000,1,33.7
266,Harrow - Harrow Weald,Harrow,FALSE,4.6,2200,7350,2100,39.5,32.3,47,4964,11,18.5,36940,384000,1.3,33.6
267,Harrow - Hatch End,Harrow,FALSE,3.3,2050,6700,2200,41.7,41.8,41.5,4812,7.5,12.3,42350,5e+05,1.4,40.4
268,Harrow - Headstone North,Harrow,FALSE,3.3,1800,6700,1850,40.6,43.6,40.9,4873,6.1,19.2,44470,427500,1.4,38.5
269,Harrow - Headstone South,Harrow,FALSE,1.5,2350,7750,1500,36.8,43,39.7,5406,9.2,34.5,39090,322500,1.1,37.7
270,Harrow - Kenton East,Harrow,FALSE,1.3,2150,7800,1550,37.4,27.6,33.5,5251,8.9,47.5,32880,380000,1.2,35.7
271,Harrow - Kenton West,Harrow,FALSE,1.8,2000,7750,1800,38.9,34.1,40,5430,7,36.9,38400,434475,1.4,36
272,Harrow - Marlborough,Harrow,FALSE,1.6,2900,8700,1400,35.1,35.5,60.9,5758,13.2,52,34450,268950,0.9,32.4
273,Harrow - Pinner,Harrow,FALSE,3.3,1850,6300,2150,42.1,44.3,44.7,4466,8.2,15.9,43950,4e+05,1.3,39.8
274,Harrow - Pinner South,Harrow,FALSE,2.4,2200,6450,2000,40.3,47.5,24.5,4833,5.5,12.9,49420,520000,1.4,43.8
275,Harrow - Queensbury,Harrow,FALSE,1.6,2600,8200,1500,36,30.5,37.4,5490,8.3,51.8,35030,390000,1.2,33.9
276,Harrow - Rayners Lane,Harrow,FALSE,1.5,2350,7350,1750,38,37.9,33.5,5206,6.4,36.2,40310,380000,1.3,38.2
277,Harrow - Roxbourne,Harrow,FALSE,1.5,3200,8550,1350,34.3,29.2,53.1,5469,12.5,29.3,32130,290000,1,34.5
278,Harrow - Roxeth,Harrow,FALSE,1.6,2650,7950,1400,35.7,28.9,64.1,5288,8.9,42.3,35110,355000,1.2,36.4
279,Harrow - Stanmore Park,Harrow,FALSE,4.5,2000,6850,2650,42.4,35.3,53.3,4637,11.8,18.7,39210,555000,1.4,35.8
280,Harrow - Wealdstone,Harrow,FALSE,1.2,2800,7650,1300,34.5,27.2,54.5,4869,14.6,47.6,32080,310000,1,33.2
281,Harrow - West Harrow,Harrow,FALSE,1.5,2150,7100,1500,37.4,40.7,31.2,4949,9.6,29.5,40210,363500,1.1,37
282,Havering - Brooklands,Havering,FALSE,4.2,3850,11050,2200,36.5,21.3,71.9,7118,13.5,24.6,35250,207500,1,27.6
283,Havering - Cranham,Havering,FALSE,6.6,2150,7450,3050,44.1,23.3,32.3,5608,6.3,2.6,42250,320000,1.3,42.3
284,Havering - Elm Park,Havering,FALSE,3.7,2350,7800,2550,41.4,16.5,39.4,5738,11.4,7.4,34730,250000,1.1,32.8
285,Havering - Emerson Park,Havering,FALSE,4.6,1850,7400,2850,43.6,24.3,36.3,5549,6.6,4.3,43790,365000,1.6,35.7
286,Havering - Gooshays,Havering,FALSE,7.8,3600,9900,1900,36,13.2,79.9,5909,19.5,8.6,29400,229000,1,22.1
287,Havering - Hacton,Havering,FALSE,2.5,2000,7950,2650,42.8,17.9,26.1,5919,7.3,4.3,39740,296500,1.3,37
288,Havering - Harold Wood,Havering,FALSE,7.6,2550,8700,2500,40.4,20.6,67.8,5946,11,4.7,37010,250000,1.2,31.7
289,Havering - Havering Park,Havering,FALSE,9.8,2700,8200,2300,38.9,15.3,45.7,5645,14.8,4.5,33590,250000,1.3,27.7
290,Havering - Heaton,Havering,FALSE,3.4,2900,8100,2200,38.5,13.7,68.2,4946,19,8.9,29560,217000,1,23.7
291,Havering - Hylands,Havering,FALSE,2.9,2100,8600,2500,41.3,19.2,55.8,6483,7.5,2.9,39890,275000,1.4,34.5
292,Havering - Mawneys,Havering,FALSE,3,2550,8000,2550,40.5,16.3,52.2,5907,10.5,6.3,35820,250000,1.2,30.9
293,Havering - Pettits,Havering,FALSE,4,2200,7850,2950,43.2,19.9,40.8,6030,7.6,4.3,40010,295000,1.4,37.1
294,Havering - Rainham and Wennington,Havering,FALSE,16.9,2500,8300,2350,39.9,14.9,74.1,5738,11.9,9.2,34470,240000,1.3,26.6
295,Havering - Romford Town,Havering,FALSE,2.9,3650,12550,2450,37.3,26.3,167.9,8096,11.9,15.3,37160,225000,0.9,28.9
296,Havering - St. Andrew's,Havering,FALSE,2.7,2300,8500,2850,42.7,18.9,65.2,6366,8.9,5.5,38130,272500,1.2,34.8
297,Havering - South Hornchurch,Havering,FALSE,6.8,3600,10350,2650,38.3,14,56.7,5953,14.7,8,33160,242000,1.2,27.1
298,Havering - Squirrel's Heath,Havering,FALSE,2.6,2450,8650,2350,40,24.3,40.8,6722,8.7,7,41740,280250,1.3,33.5
299,Havering - Upminster,Havering,FALSE,22.5,2000,7900,3100,44.3,27.9,49.7,5951,4.7,3.6,47580,420000,1.4,42.5
300,Hillingdon - Barnhill,Hillingdon,FALSE,2.1,3450,9200,1400,33.6,22.4,81.6,5775,12.3,54,31800,250000,1.2,29
301,Hillingdon - Botwell,Hillingdon,FALSE,4.4,4200,10200,1500,32.8,21.4,96.5,6346,14.4,44,30700,250000,1.1,27.9
302,Hillingdon - Brunel,Hillingdon,FALSE,3.3,2350,10850,1600,33.6,23.6,96.8,5848,11.3,31,34630,273750,1.1,22.7
303,Hillingdon - Cavendish,Hillingdon,FALSE,2,2400,7750,2000,39.4,29.9,33.8,5755,6.3,8.1,43970,4e+05,1.4,40.2
304,Hillingdon - Charville,Hillingdon,FALSE,3,3000,8550,1650,35.7,21.1,52.6,5794,10,25.3,35410,275000,1.3,31.5
305,Hillingdon - Eastcote and East Ruislip,Hillingdon,FALSE,4.1,2150,7800,2650,42.4,38.1,41.9,5804,6.5,8.8,47380,5e+05,1.5,45.5
306,Hillingdon - Harefield,Hillingdon,FALSE,15.2,1550,4900,1350,39.8,25,64.3,3571,10.9,7.5,37990,310000,1.4,30.4
307,Hillingdon - Heathrow Villages,Hillingdon,FALSE,23.5,3050,8900,1300,34.5,24.2,272.2,6107,11.4,69.1,33170,209000,1.1,24.6
308,Hillingdon - Hillingdon East,Hillingdon,FALSE,3.6,3100,9000,1600,35.4,24.2,55.8,6074,10,15.9,37250,311000,1.3,31.3
309,Hillingdon - Ickenham,Hillingdon,FALSE,6.2,1900,6600,2250,42.4,36,33.2,4884,5.3,6.4,48770,521000,1.6,46.5
310,Hillingdon - Manor,Hillingdon,FALSE,2,2400,7600,1900,39.2,29.6,38.8,5903,5.8,9.3,43460,372500,1.3,42
311,Hillingdon - Northwood,Hillingdon,FALSE,7.4,1750,6800,2300,42.7,46.4,46.3,4860,7.4,13.6,46550,470000,1.3,36.8
312,Hillingdon - Northwood Hills,Hillingdon,FALSE,3.3,2250,7600,2150,40.3,37.1,53.9,5475,9.2,14.6,43320,413500,1.3,33.8
313,Hillingdon - Pinkwell,Hillingdon,FALSE,2.7,4150,10200,1400,32.7,22.8,73.6,6417,12.2,59.5,31830,280000,1.2,28.6
314,Hillingdon - South Ruislip,Hillingdon,FALSE,7.4,2650,8600,1700,36.4,27.3,64.8,6448,8.7,15.7,40060,305000,1.2,31.6
315,Hillingdon - Townfield,Hillingdon,FALSE,3.5,3550,9900,1450,33.5,22.2,131.2,5977,14.5,57.9,30430,280000,1,30.8
316,Hillingdon - Uxbridge North,Hillingdon,FALSE,4.6,2400,8600,2100,39.2,34.9,100.6,5903,8.1,17.4,41470,349950,1.3,34.5
317,Hillingdon - Uxbridge South,Hillingdon,FALSE,3.1,2050,11550,1400,33.2,29.9,103.3,6133,11.1,36.5,34270,259000,1,24.8
318,Hillingdon - West Drayton,Hillingdon,FALSE,3.5,3600,9900,1750,34.8,24,81.5,6519,16.5,33.7,32680,249997,1.1,25.2
319,Hillingdon - West Ruislip,Hillingdon,FALSE,4.4,2150,7450,2000,40.2,33.9,65.4,5421,7.9,10.1,43470,335000,1.3,37.7
320,Hillingdon - Yeading,Hillingdon,FALSE,2.3,3800,9250,1150,32.3,26,76.4,5981,12.8,48.2,33240,250000,1.1,29.5
321,Hillingdon - Yiewsley,Hillingdon,FALSE,4,3150,9250,1350,33.9,23.1,110.1,6051,14.9,28.4,32340,225000,1,24.4
322,Hounslow - Bedfont,Hounslow,FALSE,4.4,2950,8500,1500,35.3,20.2,65,6105,14.5,32,31870,229000,1.1,22.5
323,Hounslow - Brentford,Hounslow,FALSE,3.2,2950,11300,1550,34.6,35.3,80,7043,14.6,39.2,35040,370000,0.8,30
324,Hounslow - Chiswick Homefields,Hounslow,FALSE,2.3,2200,7950,1500,37.6,55.7,83.5,6077,6.6,28.3,51830,772500,0.9,41.3
325,Hounslow - Chiswick Riverside,Hounslow,FALSE,2.1,2300,7800,1600,37.9,56,62.2,6201,8.5,25.5,49680,650000,1,41.3
326,Hounslow - Cranford,Hounslow,FALSE,2.7,2800,8600,1350,34.1,26.2,74.4,5548,14,90.5,30860,226500,1,25.7
327,Hounslow - Feltham North,Hounslow,FALSE,3.4,2400,7850,1600,36.7,21.1,77.4,5500,13.9,50.7,32850,270000,1.1,22.3
328,Hounslow - Feltham West,Hounslow,FALSE,3.2,3950,10700,1150,31.7,25,69.8,7666,12.5,41.1,34010,225000,1,21.5
329,Hounslow - Hanworth,Hounslow,FALSE,3.3,2900,8000,1500,34.8,19.2,72.9,5265,17.3,26.8,31150,250000,1,22.5
330,Hounslow - Hanworth Park,Hounslow,FALSE,3.6,2600,8150,1500,36.4,22.2,70.5,5614,12,29.4,34340,250000,1.1,27.2
331,Hounslow - Heston Central,Hounslow,FALSE,1.7,2650,8500,1450,35.2,32,53,5584,10.7,87.7,33580,348000,1.1,25
332,Hounslow - Heston East,Hounslow,FALSE,2,2600,8650,1500,35.2,33.4,63.3,5745,10.4,69.5,34030,248000,1.2,24.9
333,Hounslow - Heston West,Hounslow,FALSE,3.8,2900,8450,1400,34.4,24.4,100.3,5161,14,60,29490,280000,1.1,29.2
334,Hounslow - Hounslow Central,Hounslow,FALSE,1.7,3300,11350,1550,34,42.8,166.8,7795,7,130.7,35830,249950,0.7,25.2
335,Hounslow - Hounslow Heath,Hounslow,FALSE,2.8,3700,10300,1250,32.6,34.6,64,6878,11.1,90.1,32530,249950,0.9,27.6
336,Hounslow - Hounslow South,Hounslow,FALSE,1.8,2200,7800,1650,37.7,32.9,41.4,5767,7.4,36.4,39920,375000,1.3,37.4
337,Hounslow - Hounslow West,Hounslow,FALSE,1.6,2650,9650,1450,35.1,33.5,92.1,6288,10.4,118.9,31890,270000,0.9,26.2
338,Hounslow - Isleworth,Hounslow,FALSE,2,2700,8150,1300,35.2,33.8,69.5,5827,14.3,21.7,34790,301000,0.9,32.4
339,Hounslow - Osterley and Spring Grove,Hounslow,FALSE,6.3,2600,9050,1750,36.7,45.9,73.2,6844,6.9,50,42140,345500,1.2,32.2
340,Hounslow - Syon,Hounslow,FALSE,2.9,2950,9850,1400,35.1,38.9,82.2,7063,13.4,33.7,37040,365000,0.9,30.6
341,Hounslow - Turnham Green,Hounslow,FALSE,1.8,1850,8400,1550,38.3,55.4,95,6354,9.1,49.1,47080,634000,0.8,37.8
342,Islington - Barnsbury,Islington,TRUE,0.8,1950,9750,1250,34.9,51.5,131.4,6292,12.2,56.2,44970,715000,0.5,37.7
343,Islington - Bunhill,Islington,TRUE,1.1,2200,13350,1150,32.5,45.2,179.7,6889,13.6,67.8,39200,640000,0.3,30.3
344,Islington - Caledonian,Islington,TRUE,1.1,2200,11450,1250,34,39.1,138.8,6494,17,49.6,35840,447500,0.4,33.7
345,Islington - Canonbury,Islington,TRUE,0.8,2250,9000,1250,35.5,47.3,80.2,6103,18.7,36.3,40590,550000,0.4,35.3
346,Islington - Clerkenwell,Islington,TRUE,0.9,1450,9850,1000,34.8,47.9,154.3,5721,13.5,88.2,43350,732500,0.4,34.9
347,Islington - Finsbury Park,Islington,TRUE,0.9,2700,11300,1300,33.6,41.8,161.3,6862,20,63.3,33620,410000,0.3,37.3
348,Islington - Highbury East,Islington,TRUE,1,2250,8700,1200,35.5,58.8,98.2,6350,11.8,33.5,47810,667500,0.5,41.5
349,Islington - Highbury West,Islington,TRUE,1.1,2650,12650,1050,33.6,56.3,88.5,8745,15.3,41.1,43800,5e+05,0.4,39.5
350,Islington - Hillrise,Islington,TRUE,0.8,2300,8900,1150,35,43.7,74,5560,20,37,39090,447500,0.5,39.6
351,Islington - Holloway,Islington,TRUE,1,2400,12400,1250,33.5,43.3,83.3,7305,18.1,50,35430,405000,0.4,37.5
352,Islington - Junction,Islington,TRUE,1,2000,9700,1250,35.6,46.9,115.5,6085,17.1,49.2,39470,452000,0.4,38.6
353,Islington - Mildmay,Islington,TRUE,0.8,2500,10000,1050,33.7,48.8,92.3,6556,17.5,36.4,39300,525000,0.4,35.8
354,Islington - St. George's,Islington,TRUE,0.8,2100,9750,1250,35.2,48.3,76.5,6282,17,50,40860,495645,0.5,39.8
355,Islington - St. Mary's,Islington,TRUE,0.9,1750,9600,1200,35.9,54.4,192.2,6476,14.3,41.6,46190,650000,0.4,35.5
356,Islington - St. Peter's,Islington,TRUE,0.8,1950,10050,1150,35.2,53,127.1,6277,15.1,45.6,43870,667500,0.4,36.5
357,Islington - Tollington,Islington,TRUE,0.8,2450,10350,1100,34.2,45.2,86.4,6770,18.7,39.4,38090,465000,0.4,40
358,Kensington and Chelsea - Abingdon,Kensington and Chelsea,FALSE,0.6,1750,7550,1400,37.7,59.2,83.2,4823,5.1,71.1,54690,1295000,0.6,31.7
359,Kensington and Chelsea - Brompton,Kensington and Chelsea,FALSE,1,1250,6350,1300,39.2,57.4,185.5,4465,3.4,57.4,64320,1950000,0.6,27.7
360,Kensington and Chelsea - Campden,Kensington and Chelsea,FALSE,0.9,1400,5700,1100,38.4,62.4,124.7,4206,3.6,40,65500,1400000,0.7,33.2
361,Kensington and Chelsea - Colville,Kensington and Chelsea,FALSE,0.4,1200,6150,1000,38.3,48.6,172.2,4457,15.1,45.1,43560,935000,0.4,31.8
362,Kensington and Chelsea - Courtfield,Kensington and Chelsea,FALSE,0.5,1150,6950,950,35.6,58.7,109,4535,4.4,78.9,61810,1325000,0.5,24.9
363,Kensington and Chelsea - Cremorne,Kensington and Chelsea,FALSE,0.6,1250,5550,1450,40.4,41.2,89.5,3470,12.9,28,43920,1050000,0.5,35.1
364,Kensington and Chelsea - Earl's Court,Kensington and Chelsea,FALSE,0.5,1150,7300,900,36.8,53.3,110.4,4973,12,84.7,44100,783250,0.4,27.9
365,Kensington and Chelsea - Golborne,Kensington and Chelsea,FALSE,0.9,1650,6850,1050,36.5,32.1,130.9,3768,23.3,40.3,30100,533800,0.4,29.3
366,Kensington and Chelsea - Hans Town,Kensington and Chelsea,FALSE,0.6,1250,6150,1450,40.5,55.1,188.3,4424,5.4,59.3,58100,1587500,0.6,27.7
367,Kensington and Chelsea - Holland,Kensington and Chelsea,FALSE,1,1850,6650,1350,37.8,58.8,70.8,4586,5.7,66.4,54770,1375000,0.7,31.8
368,Kensington and Chelsea - Norland,Kensington and Chelsea,FALSE,0.7,1600,5650,1500,39.7,51.2,97.2,3961,11.3,38.1,53430,1343000,0.6,35.9
369,Kensington and Chelsea - Notting Barns,Kensington and Chelsea,FALSE,0.6,1850,6550,1350,37,37.2,99.3,4036,19.6,33.6,36690,776000,0.5,35.3
370,Kensington and Chelsea - Pembridge,Kensington and Chelsea,FALSE,0.5,1100,5700,950,37.8,60.8,177.9,4288,5.6,90.1,55710,1127500,0.5,30.6
371,Kensington and Chelsea - Queen's Gate,Kensington and Chelsea,FALSE,0.6,1500,7450,1050,36.3,61.7,88,4971,1.8,88.4,63630,1745000,0.6,26.6
372,Kensington and Chelsea - Redcliffe,Kensington and Chelsea,FALSE,0.7,1400,6750,1100,37.5,60.5,80.1,5131,6.5,58.5,54550,995000,0.6,28.6
373,Kensington and Chelsea - Royal Hospital,Kensington and Chelsea,FALSE,0.9,1000,4750,1600,43.8,56.1,117.9,3539,4.9,38.6,60600,1995000,0.8,36.4
374,Kensington and Chelsea - St. Charles,Kensington and Chelsea,FALSE,0.7,1800,6700,1100,37.1,35.5,114.8,4126,20.8,39.2,36100,642500,0.5,32.5
375,Kensington and Chelsea - Stanley,Kensington and Chelsea,FALSE,0.7,1300,5650,1300,39.6,56.1,118.7,4239,4.5,46.5,54990,1100000,0.7,33.5
376,Kingston upon Thames - Alexandra,Kingston upon Thames,FALSE,2.7,1900,6200,1600,38.9,32.7,34.7,4464,5.5,17.6,41390,404975,1.4,36.3
